,Latitude,Longitudes,city,Humidity,Cloudiness,Temperature,Wind Speed
291,47,-63,charlottetown,100.0,90.0,-2.0,13.4
292,60,-55,nuuk,85.0,90.0,-10.0,7.7
294,23,-73,cockburn town,100.0,8.0,25.67,1.62
297,38,-2,cehegin,16.0,0.0,17.0,2.6
298,54,23,suwalki,75.0,24.0,-0.34,4.32
302,74,-78,qaanaaq,100.0,32.0,-27.74,1.92
306,-24,-64,libertador general san martin,64.0,75.0,21.0,1.12
307,21,78,chandur,35.0,0.0,21.07,3.32
309,52,-77,matagami,81.0,76.0,23.07,1.12
312,18,75,kalas,59.0,0.0,19.0,2.1
314,-20,-74,ilo,68.0,0.0,23.22,2.32
315,-37,-26,arraial do cabo,94.0,75.0,25.49,1.5
316,22,8,arlit,14.0,36.0,30.07,4.52
317,-9,-47,morros,70.0,75.0,31.0,7.2
318,26,27,abnub,31.0,0.0,31.0,2.6
320,8,-74,santa rosa del sur,78.0,8.0,29.22,1.12
321,-19,39,mocuba,90.0,48.0,23.87,1.32
322,14,-22,vila do maio,60.0,0.0,24.0,9.8
324,-8,31,namanyere,92.0,20.0,16.17,0.92
331,22,12,bilma,10.0,24.0,30.07,3.42
336,-27,-69,diego de almagro,80.0,0.0,22.72,1.67
338,-21,15,khorixas,50.0,20.0,26.22,3.27
340,78,26,honningsvag,85.0,75.0,-7.0,9.3
341,37,0,sidi ali,97.0,0.0,6.72,1.17
343,68,22,kautokeino,86.0,0.0,-10.04,3.07
350,68,9,sorland,100.0,0.0,0.0,2.1
351,-20,-69,iquique,64.0,0.0,22.0,7.2
355,-4,17,bandundu,85.0,0.0,26.17,1.12
357,18,-2,tombouctou,12.0,20.0,29.87,7.07
363,64,17,timra,47.0,0.0,1.85,2.6
366,-19,41,angoche,100.0,64.0,27.82,3.22
367,-15,-68,mapiri,85.0,56.0,18.81,1.42
368,13,-19,gunjur,33.0,24.0,32.0,4.1
370,3,-48,amapa,66.0,40.0,30.0,4.6
372,-24,-30,vila velha,79.0,75.0,29.0,5.1
374,-4,-46,santa ines,55.0,75.0,18.54,7.7
376,-77,76,busselton,100.0,36.0,18.97,7.42
377,25,77,chhabra,44.0,0.0,19.67,1.92
381,-1,47,mogadishu,98.0,12.0,28.07,3.47
382,-28,-44,ilhabela,100.0,64.0,24.22,5.67
384,59,-47,qaqortoq,69.0,40.0,1.0,4.1
392,-3,24,lodja,64.0,0.0,27.12,1.72
393,37,6,constantine,99.0,75.0,1.0,5.7
396,53,-5,llangefni,75.0,90.0,8.0,13.9
397,16,62,sur,87.0,0.0,24.52,0.97
398,-14,14,caluquembe,98.0,88.0,18.31,1.12
402,61,31,pitkyaranta,95.0,88.0,-1.34,2.17
403,-5,12,loandjili,94.0,40.0,24.0,1.5
406,-6,0,port-gentil,88.0,20.0,26.0,8.7
407,24,0,adrar,11.0,0.0,19.0,8.7
410,-33,21,swellendam,60.0,0.0,20.0,7.2
412,11,78,karur,81.0,64.0,25.22,1.87
416,-28,-57,ayolas,54.0,92.0,29.27,2.62
417,52,50,perelyub,88.0,80.0,-5.59,5.97
418,47,-59,channel-port aux basques,87.0,92.0,0.92,16.77
420,18,22,faya,72.0,0.0,19.51,2.1
422,37,59,quchan,97.0,44.0,3.27,0.82
427,34,-17,camacha,58.0,40.0,15.57,5.1
428,-38,37,margate,93.0,75.0,13.0,2.1
435,-5,-71,benjamin constant,66.0,75.0,30.01,1.0
437,3,2,anloga,79.0,20.0,29.0,6.7
438,2,71,kudahuvadhoo,100.0,48.0,28.32,4.12
439,-9,-75,campoverde,48.0,0.0,8.51,6.2
441,-9,16,malanje,79.0,20.0,20.87,1.67
442,27,21,jalu,23.0,36.0,28.12,8.97
444,32,-13,teguise,59.0,20.0,18.0,11.8
445,71,19,tromso,86.0,40.0,-3.0,2.6
450,20,-62,the valley,65.0,20.0,28.0,7.2
455,-8,-76,tocache,83.0,56.0,20.67,1.22
457,69,53,iskateley,73.0,48.0,-14.54,6.27
458,-21,54,saint-paul,45.0,0.0,6.96,5.7
461,-10,-58,alta floresta,54.0,20.0,32.87,1.37
462,-14,26,kasempa,98.0,32.0,17.92,1.02
466,-33,-65,rio cuarto,30.0,0.0,28.0,6.7
469,73,12,gravdal,93.0,75.0,2.54,1.5
473,-22,-71,tocopilla,77.0,8.0,20.97,3.17
474,-9,-51,conceicao do araguaia,56.0,75.0,34.0,3.1
479,54,65,zverinogolovskoye,86.0,44.0,-5.39,3.67
480,6,12,banyo,86.0,56.0,21.67,1.67
481,-48,-73,coihaique,58.0,75.0,12.25,5.1
485,40,0,burriana,29.0,0.0,17.0,4.1
486,-26,33,maputo,94.0,90.0,22.0,4.6
489,73,-14,husavik,100.0,20.0,0.47,1.97
492,48,-2,rennes,61.0,90.0,8.0,3.6
493,1,3,yenagoa,84.0,0.0,25.92,3.47
500,-6,8,mayumba,100.0,92.0,27.07,2.67
501,63,-2,brae,93.0,75.0,7.0,6.7
505,46,-62,antigonish,93.0,90.0,0.0,9.3
508,-7,17,kasongo-lunda,80.0,20.0,25.17,0.77
509,50,-3,torquay,70.0,75.0,8.0,5.7
510,16,48,sayyan,20.0,80.0,15.37,1.87
514,54,33,roslavl,86.0,48.0,-3.19,6.37
519,0,30,kilembe,94.0,0.0,20.02,1.22
522,22,45,riyadh,12.0,0.0,27.0,3.1
523,46,47,zenzeli,84.0,24.0,0.37,7.47
524,17,49,najran,15.0,20.0,26.0,3.1
525,27,-12,puerto del rosario,68.0,20.0,18.0,10.3
526,20,78,digras,25.0,0.0,23.37,4.12
527,-13,46,dzaoudzi,83.0,0.0,27.0,1.5
528,38,-78,culpeper,36.0,1.0,6.66,6.2
529,55,3,great yarmouth,76.0,75.0,9.0,5.7
533,74,-7,klaksvik,100.0,80.0,7.0,3.6
534,60,-18,vestmannaeyjar,75.0,40.0,6.0,9.3
536,-16,15,ondjiva,89.0,56.0,22.37,2.12
540,-7,-60,manicore,62.0,20.0,33.07,0.67
543,48,60,emba,52.0,0.0,18.34,2.6
545,59,37,kaduy,84.0,48.0,-3.99,5.47
548,46,20,kanjiza,82.0,0.0,0.0,3.1
549,52,46,novyye burasy,79.0,90.0,-5.0,4.0
555,69,16,myre,47.0,0.0,3.0,2.6
556,7,7,idah,66.0,44.0,30.72,3.12
560,-20,53,le port,53.0,0.0,-3.84,0.87
561,-17,-44,bocaiuva,84.0,76.0,24.97,1.47
565,30,37,bayir,24.0,75.0,22.0,16.5
567,20,-6,araouane,8.0,0.0,25.57,6.92
568,8,34,gambela,66.0,0.0,20.92,1.32
569,-24,-78,antofagasta,68.0,20.0,18.0,8.7
572,38,-28,horta,28.0,0.0,15.51,3.6
578,-17,-54,guiratinga,64.0,20.0,32.67,2.12
584,36,33,anamur,75.0,64.0,16.56,4.27
585,15,33,wad rawah,38.0,0.0,26.67,1.17
588,-11,35,mbinga,100.0,0.0,21.32,1.32
594,-12,30,samfya,84.0,44.0,21.57,1.37
595,15,-41,cayenne,78.0,90.0,26.0,4.6
601,61,30,kuznechnoye,88.0,92.0,-0.29,3.17
605,24,61,jiwani,93.0,0.0,21.32,2.97
607,19,27,marawi,100.0,92.0,19.67,0.27
608,1,-47,salinopolis,100.0,80.0,27.27,4.52
611,50,42,alekseyevskaya,90.0,48.0,-1.94,2.62
614,6,13,tibati,88.0,36.0,22.52,1.07
615,39,37,sivas,34.0,40.0,9.0,5.7
620,23,66,keti bandar,96.0,0.0,24.97,5.12
621,19,43,abha,72.0,0.0,19.52,2.1
622,6,79,beruwala,94.0,88.0,29.07,4.62
624,20,-76,el cobre,33.0,40.0,33.0,3.6
626,36,17,syracuse,55.0,75.0,2.0,6.7
627,55,37,kremenki,86.0,75.0,-3.0,5.0
630,1,35,kitale,83.0,0.0,13.17,1.12
632,14,68,kavaratti,100.0,0.0,28.67,4.37
633,-23,18,rehoboth,38.0,88.0,22.92,2.22
639,47,42,orlovskiy,78.0,48.0,-1.09,6.02
640,52,22,siedlce,84.0,8.0,-2.84,3.67
641,2,-65,santa isabel do rio negro,100.0,92.0,22.62,3.82
642,-49,-69,rio gallegos,39.0,40.0,17.0,5.1
645,74,16,longyearbyen,56.0,20.0,-11.0,9.3
647,53,8,garrel,86.0,75.0,4.99,4.1
649,39,-2,albacete,32.0,0.0,11.0,9.3
651,59,48,darovskoy,52.0,12.0,-15.34,2.27
652,62,29,savonlinna,91.0,90.0,0.0,1.5
655,49,-62,cap-aux-meules,80.0,90.0,-1.0,12.3
659,-21,44,morondava,82.0,8.0,28.32,3.42
661,0,-68,sao gabriel da cachoeira,74.0,75.0,30.0,1.5
666,2,-4,jacqueville,79.0,40.0,29.0,3.1
671,32,-72,havelock,89.0,5.0,10.5,6.2
676,18,-51,bathsheba,70.0,40.0,29.0,9.3
680,10,-54,marienburg,87.0,75.0,6.01,3.6
681,-1,-54,prainha,77.0,64.0,29.17,1.52
682,-25,51,vangaindrano,93.0,76.0,23.32,1.72
688,55,45,gagino,83.0,36.0,-6.19,3.07
689,12,32,marabba,35.0,0.0,26.37,0.92
693,-27,66,bambous virieux,83.0,75.0,27.0,4.1
707,58,-26,grindavik,86.0,75.0,4.0,12.3
708,43,46,vedeno,95.0,92.0,6.87,2.57
709,27,-7,tiznit,66.0,0.0,16.92,2.42
712,68,67,labytnangi,0.0,20.0,-33.54,1.97
713,26,69,sanghar,45.0,0.0,22.67,2.97
716,3,-23,bubaque,30.0,0.0,36.0,3.1
721,-13,39,montepuez,98.0,32.0,22.17,1.97
725,22,79,chhindwara,43.0,0.0,18.72,2.22
739,45,-14,muros,45.0,0.0,9.0,4.1
740,6,-47,saint-georges,57.0,64.0,2.22,3.57
745,3,6,abonnema,94.0,75.0,25.0,3.6
746,-25,-61,presidencia roque saenz pena,94.0,24.0,25.32,2.77
750,19,-8,nara,65.0,20.0,7.0,8.2
753,30,55,shahr-e babak,79.0,56.0,6.22,1.32
758,25,16,marzuq,22.0,0.0,14.97,1.67
763,24,77,biaora,36.0,0.0,21.97,3.57
766,28,28,matay,33.0,20.0,20.82,2.77
767,63,78,novoagansk,82.0,76.0,-13.44,2.87
770,-17,-52,caiaponia,54.0,0.0,32.47,2.07
771,-59,-76,punta arenas,50.0,0.0,12.0,10.8
772,62,8,ovre ardal,100.0,75.0,1.0,0.5
773,10,75,chavakkad,83.0,75.0,26.56,1.77
775,-13,-27,sao jose da coroa grande,83.0,24.0,28.17,4.62
780,56,-62,saint-augustin,62.0,0.0,8.45,6.2
786,55,66,polovinnoye,90.0,68.0,-3.99,5.62
790,34,57,tabas,31.0,36.0,12.42,2.62
792,-13,32,chipata,72.0,8.0,22.57,2.57
793,47,14,tamsweg,44.0,20.0,3.0,2.6
796,-32,42,beloha,85.0,68.0,24.57,5.92
800,15,-72,pedernales,67.0,64.0,29.57,2.72
801,-14,36,mangochi,92.0,80.0,22.82,0.97
804,0,-71,mitu,61.0,0.0,1.81,1.22
809,-20,21,nokaneng,80.0,36.0,23.17,2.87
813,5,20,kouango,93.0,20.0,23.07,1.17
819,22,-17,nouadhibou,49.0,0.0,23.0,9.8
820,54,45,zykovo,76.0,56.0,-6.29,3.22
827,62,50,mikun,65.0,68.0,-16.34,3.92
828,44,-74,glens falls,44.0,1.0,3.35,6.7
831,-29,-51,sao marcos,56.0,0.0,25.42,2.72
832,34,27,palaikastron,90.0,92.0,17.92,11.97
834,16,-19,dakar,64.0,8.0,23.0,5.1
840,42,-7,braganca,84.0,48.0,28.32,3.12
844,65,-56,sisimiut,68.0,8.0,-18.79,0.97
846,44,55,beyneu,74.0,80.0,6.22,1.67
848,61,46,udimskiy,73.0,76.0,-12.14,4.42
856,22,40,mecca,38.0,0.0,32.0,1.5
859,23,26,asyut,31.0,0.0,31.0,2.6
860,68,75,pangody,0.0,0.0,-36.74,1.42
864,10,-13,kindia,32.0,0.0,35.52,1.62
866,26,-76,dunmore town,100.0,0.0,21.27,5.87
868,56,72,tyukalinsk,100.0,92.0,0.92,4.12
869,-9,-65,porto velho,66.0,40.0,30.0,1.5
871,-8,29,kaputa,86.0,20.0,20.72,0.77
876,-10,-59,aripuana,50.0,12.0,34.72,1.32
878,18,-57,saint-francois,79.0,90.0,5.0,3.6
883,60,51,koygorodok,65.0,0.0,-16.19,1.12
885,58,34,berezayka,90.0,68.0,-1.04,6.12
886,-3,-77,sucua,100.0,64.0,20.87,1.52
889,18,10,agadez,11.0,0.0,37.0,6.2
900,39,62,seydi,29.0,80.0,34.22,3.12
903,-6,-25,cabedelo,62.0,75.0,30.0,5.7
904,41,-8,castro daire,71.0,20.0,11.0,4.6
906,-14,-42,livramento,79.0,40.0,30.03,3.1
908,43,-65,shelburne,52.0,1.0,1.74,5.1
914,-25,11,walvis bay,72.0,0.0,17.0,4.1
916,11,-23,praia,83.0,75.0,24.0,2.1
918,41,14,villa literno,75.0,75.0,5.32,3.1
924,70,24,rypefjord,57.0,75.0,-4.69,6.2
927,60,-8,vagur,93.0,92.0,7.67,4.37
928,1,-42,tutoia,70.0,75.0,32.0,5.1
929,68,15,svolvaer,100.0,40.0,-2.07,3.87
930,4,35,kaabong,59.0,0.0,21.62,2.82
931,50,78,semey,90.0,76.0,5.81,5.22
934,51,28,buchmany,87.0,36.0,-4.84,4.02
935,-30,35,richards bay,99.0,92.0,19.42,3.87
939,-3,-27,natal,58.0,40.0,31.0,6.7
940,-22,-52,presidente venceslau,51.0,75.0,30.0,3.6
943,56,-6,bowmore,29.0,1.0,10.49,5.7
947,-18,47,ankazobe,88.0,20.0,20.0,3.6
950,61,34,vazhiny,91.0,80.0,-1.69,5.07
951,36,28,lardos,48.0,40.0,19.0,5.7
954,52,-70,chute-aux-outardes,59.0,90.0,0.43,7.2
958,7,-10,gbarnga,67.0,36.0,30.52,1.97
961,17,42,jizan,66.0,0.0,30.0,2.6
963,66,5,roald,86.0,20.0,3.99,2.6
968,61,53,ust-kulom,61.0,8.0,-19.49,1.97
970,24,-6,taoudenni,12.0,0.0,22.47,5.27
971,14,-77,puerto colombia,62.0,20.0,32.0,4.6
977,49,-63,havre-saint-pierre,59.0,20.0,2.0,5.7
979,-17,46,marovoay,83.0,20.0,28.0,2.1
980,12,18,bitkine,31.0,56.0,33.67,2.57
986,29,66,nushki,66.0,0.0,10.31,1.87
987,38,-70,nantucket,100.0,90.0,2.0,6.7
991,43,-77,newark,42.0,75.0,6.58,6.7
997,34,-70,hamilton,60.0,40.0,21.0,10.3
1004,6,37,bako,83.0,44.0,28.17,2.12
1005,-7,-30,pitimbu,62.0,75.0,30.0,5.7
1009,69,-57,kangaatsiaq,100.0,0.0,-16.79,12.17
1011,34,-72,elizabeth city,42.0,1.0,9.27,4.6
1012,46,35,partyzany,100.0,80.0,2.12,4.92
1014,-37,-62,olavarria,50.0,0.0,23.42,6.92
1025,36,32,alanya,94.0,100.0,16.06,1.37
1029,14,-5,djenne,16.0,32.0,34.87,4.27
1030,4,10,edea,70.0,40.0,30.0,1.5
1031,69,50,naryan-mar,73.0,64.0,-14.44,5.27
1033,0,19,mbandaka,74.0,24.0,26.97,1.77
1034,46,-7,cervo,84.0,80.0,23.62,1.62
1035,45,-5,villaviciosa,66.0,0.0,11.0,2.1
1036,43,0,lourdes,37.0,20.0,32.04,4.6
1040,-18,16,ondangwa,69.0,56.0,24.47,2.52
1043,21,70,mangrol,53.0,0.0,18.06,1.47
1047,35,33,lefka,81.0,90.0,12.0,9.8
1048,14,-50,iracoubo,65.0,24.0,28.47,3.37
1054,17,16,mao,51.0,40.0,29.49,4.1
1057,38,-77,la plata,56.0,0.0,22.0,4.1
1058,40,60,hazorasp,65.0,0.0,8.0,1.0
1061,-16,-66,chimore,70.0,20.0,29.87,1.87
1066,-29,31,greytown,100.0,92.0,14.87,1.12
1073,-6,2,omboue,100.0,56.0,27.82,3.32
1074,52,72,stepnogorsk,90.0,32.0,2.31,6.62
1080,62,3,floro,93.0,75.0,3.34,4.6
1083,49,2,triel-sur-seine,75.0,90.0,7.0,3.6
1084,39,31,emirdag,40.0,44.0,14.31,4.77
1086,-17,-38,porto seguro,70.0,40.0,30.0,7.7
1089,45,-6,aviles,66.0,0.0,11.0,2.1
1090,61,18,gavle,78.0,0.0,-0.69,2.77
1094,-18,-27,maceio,55.0,40.0,31.0,7.2
1097,61,9,fagernes,87.0,12.0,-7.54,1.07
1100,72,22,oksfjord,57.0,75.0,-5.7,6.2
1101,-49,24,plettenberg bay,94.0,0.0,19.17,8.52
1102,57,23,tukums,85.0,90.0,2.0,4.6
1105,61,67,kondinskoye,82.0,80.0,-9.64,4.67
1107,14,-79,san andres,100.0,56.0,25.67,8.57
1110,13,7,madarounfa,29.0,88.0,34.67,3.32
1111,55,-78,moose factory,53.0,1.0,-5.0,4.1
1112,30,17,waddan,24.0,0.0,19.67,4.92
1113,55,64,mishkino,38.0,0.0,-5.0,3.0
1115,-41,-67,general roca,24.0,0.0,26.0,4.1
1120,-26,18,keetmanshoop,27.0,0.0,30.0,2.42
1121,-21,-58,fuerte olimpo,79.0,0.0,31.62,4.37
1127,-15,13,lubango,97.0,92.0,20.22,0.92
1130,49,-58,corner brook,69.0,90.0,1.0,9.8
1133,67,23,tornio,83.0,90.0,0.0,4.6
1135,64,31,muyezerskiy,78.0,80.0,-4.94,3.82
1137,41,62,gazojak,70.0,0.0,7.56,2.67
1139,44,-66,yarmouth,70.0,75.0,7.18,4.6
1141,23,4,tessalit,15.0,8.0,19.97,6.57
1143,62,10,folldal,75.0,24.0,-7.64,1.17
1147,-43,-72,calbuco,93.0,90.0,14.0,3.6
1148,47,37,osypenko,68.0,0.0,-3.0,3.0
1149,34,49,borujerd,14.0,0.0,14.55,1.0
1151,2,-15,robertsport,100.0,0.0,27.37,3.32
1157,74,21,skjervoy,68.0,75.0,-3.27,6.2
1159,70,77,tazovskiy,0.0,0.0,-35.79,1.47
1160,60,23,hanko,81.0,0.0,-0.69,7.12
1161,4,-66,inirida,99.0,92.0,23.17,0.87
1163,50,-58,deer lake,69.0,90.0,1.0,9.8
1166,21,-67,isabela,100.0,80.0,21.67,1.42
1167,51,26,olyka,62.0,0.0,-5.0,3.0
1169,24,42,buraydah,28.0,5.0,27.0,4.1
1173,32,52,shahreza,66.0,0.0,2.17,0.72
1176,-32,-67,san luis,29.0,0.0,30.67,1.72
1177,15,40,ginda,84.0,36.0,3.77,0.97
1178,3,-13,monrovia,66.0,40.0,30.0,4.1
