,Latitude,Longitudes,city,Humidity,Cloudiness,Temperature,Wind Speed
226,32,125,huilong,84.0,12.0,5.31,0.97
231,44,11,montale,24.0,0.0,9.7,7.2
232,50,9,seligenstadt,86.0,90.0,3.66,3.6
237,3,14,yokadouma,86.0,44.0,24.37,0.97
238,64,18,ornskoldsvik,50.0,0.0,1.0,3.1
239,58,95,motygino,81.0,48.0,-8.84,1.02
241,7,72,dhidhdhoo,100.0,32.0,28.52,3.12
243,51,99,kungurtug,63.0,0.0,-12.84,1.02
246,39,140,yuza,100.0,80.0,3.77,4.82
248,69,136,ust-kuyga,71.0,76.0,-23.74,1.32
260,53,106,bayanday,81.0,56.0,-4.99,1.12
270,54,64,borovskoy,87.0,68.0,-2.94,3.47
275,6,155,kavieng,97.0,68.0,29.42,6.07
277,40,54,balkanabat,71.0,0.0,8.77,0.72
279,8,10,wukari,64.0,68.0,27.87,5.32
281,5,13,nanga eboko,90.0,64.0,22.57,1.42
282,53,78,burla,86.0,8.0,2.62,6.67
286,12,7,gusau,54.0,64.0,28.97,3.42
289,39,45,khoy,51.0,0.0,5.31,1.82
292,31,73,tandlianwala,77.0,0.0,18.67,1.17
293,78,90,talnakh,40.0,0.0,-32.59,1.87
295,44,54,zhanaozen,64.0,24.0,10.67,5.12
298,20,47,najran,15.0,20.0,28.0,4.1
299,51,28,buchmany,87.0,36.0,-4.84,4.02
306,22,115,danshui,100.0,0.0,12.37,2.07
309,66,126,sangar,64.0,68.0,-16.04,1.87
315,3,97,meulaboh,100.0,12.0,26.67,1.87
317,3,92,banda aceh,98.0,44.0,23.22,1.37
321,23,102,simao,89.0,68.0,15.77,1.07
323,19,78,bhainsa,31.0,8.0,25.02,5.27
330,70,47,mezen,67.0,8.0,-18.29,1.22
331,66,179,anadyr,95.0,80.0,0.56,11.22
334,7,130,santiago,35.0,0.0,22.0,2.1
337,62,39,konevo,99.0,92.0,0.47,2.82
345,67,41,ostrovnoy,77.0,44.0,-11.94,4.77
347,69,11,sorland,64.0,0.0,1.89,1.5
358,22,25,faya,64.0,40.0,20.52,3.1
365,53,2,great yarmouth,71.0,75.0,10.0,6.2
368,64,40,kodino,80.0,88.0,-8.54,1.17
383,9,11,jalingo,34.0,12.0,33.52,1.37
390,59,1,lerwick,87.0,75.0,7.5,7.2
397,27,4,adrar,14.0,0.0,19.0,8.2
406,39,3,felanitx,48.0,20.0,12.0,5.7
412,55,121,amazar,77.0,0.0,-8.19,1.17
416,35,132,hamada,92.0,0.0,3.67,3.62
423,36,133,sakaiminato,80.0,40.0,2.0,3.6
438,8,128,kinablangan,100.0,92.0,23.72,3.67
443,24,18,marzuq,22.0,0.0,14.97,1.67
445,59,108,alekseyevsk,89.0,92.0,-4.04,2.67
447,9,59,bandarbeyla,100.0,0.0,25.82,2.87
455,35,135,nishiwaki,65.0,40.0,7.0,8.7
456,49,39,frunze,66.0,24.0,-10.49,1.42
462,67,169,bilibino,59.0,92.0,-22.14,1.37
468,61,91,teya,44.0,90.0,27.0,3.6
471,3,30,watsa,89.0,8.0,21.67,1.52
482,39,8,carbonia,57.0,20.0,10.0,9.8
486,60,61,serov,66.0,80.0,-10.84,2.97
506,12,33,marabba,35.0,0.0,26.37,0.92
510,61,125,berdigestyakh,65.0,68.0,-16.29,1.12
511,40,147,nemuro,100.0,92.0,0.31,15.17
515,53,38,yefremov,92.0,80.0,-3.54,4.37
517,63,48,blagoyevo,69.0,76.0,-11.44,2.77
518,31,108,wanxian,83.0,0.0,5.47,0.97
525,25,101,dali,86.0,0.0,9.72,1.42
527,20,2,tessalit,15.0,8.0,19.97,6.57
529,13,123,san rafael,22.0,0.0,25.77,2.12
533,58,143,okhotsk,100.0,0.0,-15.94,1.12
535,3,148,lorengau,96.0,48.0,28.52,7.27
543,34,116,bozhou,75.0,0.0,3.92,1.02
544,52,70,makinsk,95.0,88.0,1.81,6.92
553,20,59,sur,87.0,0.0,24.52,0.97
555,31,90,lasa,63.0,20.0,18.35,3.6
556,33,40,abu kamal,26.0,0.0,17.27,2.97
558,3,44,wanlaweyn,74.0,20.0,26.42,3.22
564,29,55,darab,48.0,0.0,6.81,0.32
565,61,81,kargasok,85.0,80.0,-4.04,2.07
568,59,114,balakhninskiy,77.0,80.0,-12.64,0.97
576,51,159,petropavlovsk-kamchatskiy,52.0,0.0,-9.0,4.0
579,43,95,hami,62.0,0.0,7.72,3.12
584,5,8,uyo,80.0,76.0,26.97,3.42
587,56,161,klyuchi,90.0,8.0,6.56,6.57
588,58,50,kumeny,64.0,24.0,-16.09,1.52
594,31,102,yaan,50.0,36.0,32.37,3.52
599,67,67,salekhard,0.0,20.0,-33.54,1.97
600,55,111,kurumkan,81.0,76.0,-10.44,0.97
601,36,99,xining,80.0,32.0,-3.84,1.32
602,10,99,lang suan,92.0,76.0,26.37,2.27
604,12,120,salvacion,100.0,88.0,23.97,8.17
616,67,50,ust-tsilma,72.0,68.0,-13.04,3.02
621,8,18,moissala,80.0,56.0,24.67,4.77
630,49,20,svit,55.0,20.0,1.0,4.1
631,13,22,adre,54.0,0.0,26.37,1.27
638,57,84,krivosheino,90.0,80.0,-5.89,3.62
647,9,38,hagere hiywet,55.0,92.0,16.72,1.37
651,43,115,zhangjiakou,90.0,20.0,-0.14,1.87
655,21,78,chandur,35.0,0.0,21.07,3.32
667,65,38,onega,88.0,80.0,-6.79,3.62
668,36,30,kumluca,18.0,80.0,15.52,1.77
676,2,24,aketi,81.0,56.0,24.12,1.67
677,68,29,kovdor,80.0,32.0,-7.99,2.37
678,13,74,malpe,74.0,20.0,27.0,2.6
682,45,125,qianguo,50.0,32.0,0.77,5.02
685,21,109,beihai,35.0,0.0,4.0,2.0
691,66,48,leshukonskoye,85.0,68.0,-13.94,1.22
692,25,135,naze,94.0,75.0,25.0,5.1
